评价类型,消费者,rating_raw,review_text,store_name,review_date,评价展示平台,商家回应,回应&盖楼内容,rating_label,senti_score,senti_label,key_topics,store_id
团购评价,匿名用户,5.0,"[薄荷]环境：店在路边4楼，装修很有氛围感，适合下班后小聚～

[米饭]口味：菜品以海鲜为主，菜品精致，味道也不错

[服务铃]服务：服务好，上菜快",流杯酒肆·台州Bistro,2025-05-23,点评,是,"【2025-05-23 20:00:35】商家:亲爱的顾客，非常感谢您的好评！😊 您的满意是我们最大的动力，我们会继续努力，为您提供更好的服务和美食体验。期待您下次再来，和我们一起享受美味时光！🍤🍽️
",好评,0.9951,正面,"[""菜品"", ""服务"", ""后小聚"", ""上菜"", ""薄荷""]",1539873707
打卡评价,匿名用户,5.0,最好吃的台州菜+bistro的概念绝绝子！新开的环境很适合朋友小聚，打卡还送了开胃小酒那个feel一下就来了～,流杯酒肆·台州Bistro,2025-05-23,点评,是,"【2025-05-23 20:00:48】商家:亲爱的顾客，感谢您的好评！😊 您的满意是我们最大的动力，听到您喜欢我们的台州菜和bistro环境，我们真的很开心！打卡送小酒的活动也是希望让大家更享受聚会时光。期待您和朋友再次光临，祝您生活愉快！🌟
",好评,0.2338,负面,"[""打卡"", ""bistro"", ""绝绝子"", ""小聚"", ""feel""]",1539873707
打卡评价,仙儿,4.5,服务员小哥服务很好，环境也棒，下班以后过来吃吃蛮好,流杯酒肆·台州Bistro,2025-05-23,点评,是,"【2025-05-23 20:00:56】商家:感谢您的好评！😊 我们很高兴您喜欢我们的服务和环境，下班后来这里放松一下确实是个不错的选择。期待您下次再来，我们会继续努力为您提供更好的体验！🍽️
",好评,0.8414,正面,"[""小哥"", ""服务员"", ""下班"", ""过来"", ""服务""]",1539873707
打卡评价,哦钱钱,5.0,适合约会服务热情环境很好啊,流杯酒肆·台州Bistro,2025-05-23,点评,是,"【2025-05-23 20:01:02】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您对我们的服务和环境感到满意。我们将继续保持高质量的服务和舒适的用餐环境，期待您再次光临，享受更多美好时光！
",好评,0.9493,正面,"[""约会"", ""适合"", ""热情"", ""服务"", ""环境""]",1539873707
打卡评价,荔枝蛋奶,3.0,"来拔草了这家台州菜，糯叽叽and台州菜爱好者本人
「沙蒜海参豆面」这个没毛病，是好吃的「怪味脆皮牛肉粒」这有股辣条味，还挺香的
「家烧黄鱼配年糕」有点辣 「台州炒麻糍」有点为了糯叽叽而糯叽叽的感觉 「海肠捞饭」一般般 「芝士红薯烤年糕」不是很好吃，有点齁",流杯酒肆·台州Bistro,2025-05-23,点评,是,"【2025-05-23 17:09:06】商家:亲爱的顾客，您好！感谢您光临并分享详细的用餐体验。对于您提到的菜品口味问题，我们深感抱歉。我们会认真考虑您的反馈，努力改进菜品的味道和口感。真诚地希望您再次光临，体验我们的改进！
",差评,0.0,负面,"[""叽叽"", ""台州"", ""年糕"", ""有点"", ""好吃""]",1539873707
门店评价,Cici美少女,5.0,朋友推荐来的店，每个菜都好吃不踩雷,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 23:58:40】商家:非常感谢您的好评！😊 您的满意是我们最大的动力，听到您觉得每个菜都好吃，我们真的特别开心！我们会继续努力，为您提供更好的美食和服务。期待您下次再来，祝您生活愉快！🍽️
",好评,0.274,负面,"[""好吃"", ""朋友"", ""每个"", ""推荐""]",1539873707
团购评价,我是静静evelyn,5.0,"来了第三次了！非常好吃！
每一道菜都不会踩雷！
而且还会送酒杯、可以自己DIY
小甜虾虽然量不大但是很美味
适合两三好友过来喝酒聊天下酒菜",流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 23:59:52】商家:亲爱的顾客，您好！感谢您第三次光临我们餐厅，并给予如此高的评价！得知您喜欢我们的菜品，并且享受DIY酒杯的乐趣，我们感到非常荣幸。我们将继续保持高品质，期待您和朋友们再次光临，享受更多美味时光！
",好评,0.126,负面,"[""DIY"", ""小甜"", ""下酒菜"", ""两三"", ""美味""]",1539873707
打卡评价,mimisa1989,5.0,真的特别好。很少给全好评，但是这个必须给。服务员都很热情，特别周到，菜都很好吃，没有踩雷。,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:00:03】商家:非常感谢您的好评！😊 您的满意是我们最大的动力，我们会继续努力，为您提供更优质的服务和美味的菜品。期待您的再次光临，祝您生活愉快！🍽️
",好评,0.995,正面,"[""特别"", ""服务员"", ""周到"", ""好评"", ""好吃""]",1539873707
打卡评价,jinny7451,5.0,环境很适宜，饭菜也不错,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:00:09】商家:亲爱的顾客，感谢您的好评！😊 您的满意是我们最大的动力，我们会继续努力，为您提供更好的服务和美食。期待您的再次光临，祝您生活愉快！🍽️
",好评,0.9849,正面,"[""饭菜"", ""适宜"", ""不错"", ""环境""]",1539873707
门店评价,勇善漂亮的小齐,5.0,菜品非常好吃 服务也很好 会继续再来,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:00:16】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！得知您对我们的菜品和服务感到满意，我们非常荣幸。我们将继续保持高质量的服务和美味的菜品，期待再次为您提供美好的用餐体验！
",好评,0.677,正面,"[""菜品"", ""好吃"", ""服务"", ""非常"", ""继续""]",1539873707
团购评价,77大人,4.5,菜品很特别，口味不错，亮很适合女生，饮品有待提高～,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:00:24】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的菜品和口味，也感谢您对我们菜品的特别推荐。我们会继续努力改进饮品，期待再次为您提供美好的用餐体验！
",好评,0.9651,正面,"[""菜品"", ""饮品"", ""口味"", ""女生"", ""有待""]",1539873707
打卡评价,桃色组长_J,5.0,口碑超推荐。豆面、捞汁海鲜、小管都超好吃。鸡尾酒颜值口感还不错，扭蛋抽奖超有仪式感。环境舒适，服务贴心。,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:00:39】商家:亲爱的顾客，感谢您对我们小店的支持和喜爱！🎉 豆面、捞汁海鲜、小管还有鸡尾酒都让您满意，我们真是太开心了！扭蛋抽奖也是我们的小心思，希望每次来都能给您带来惊喜。环境和服务也是我们一直努力的方向，期待您下次再来享受美味和舒适哦！🍽️😊
",好评,1.0,正面,"[""小管"", ""颜值"", ""扭蛋"", ""超有"", ""豆面""]",1539873707
团购评价,SSsquirrel,4.5,环境很好，整块落地窗很漂亮。比较地道的台州菜。,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:00:54】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的环境，尤其是落地窗的设计。我们也很高兴您对我们的台州菜感到满意。我们将继续保持高质量的服务和菜品，期待再次为您提供美好的用餐体验！
",好评,0.986,正面,"[""落地窗"", ""整块"", ""很漂亮"", ""台州"", ""地道""]",1539873707
打卡评价,刚仁真诚的小毛,4.5,环境温馨，菜品也很正宗。服务态度也非常满意，还会再来,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:01:05】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的环境和菜品，并对我们的服务态度感到满意。我们将继续保持高质量的服务和菜品，期待再次为您提供美好的用餐体验！
",好评,0.9797,正面,"[""服务态度"", ""菜品"", ""正宗"", ""温馨"", ""满意""]",1539873707
打卡评价,Molly茉莉,5.0,这家小酒馆在市中心，菜品一如既往的好吃,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:01:56】商家:亲爱的顾客，感谢您的好评！😊 您的满意是我们最大的动力，我们会继续努力，为您提供更好的美食和服务。期待您下次光临，祝您生活愉快！🍽️
",好评,0.9666,正面,"[""小酒馆"", ""菜品"", ""一如既往"", ""市中心"", ""好吃""]",1539873707
团购评价,安长,5.0,味道很不错 服务也很不错 餐厅的环境也很好,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:01:13】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您对我们的味道、服务和环境都感到满意。我们将继续保持高品质，期待再次为您服务！
",好评,0.9977,正面,"[""不错"", ""餐厅"", ""味道"", ""服务"", ""环境""]",1539873707
门店评价,SODSODme,5.0,"[薄荷]环境：很干净
[米饭]口味：很好
[服务铃]服务：很热情
[糖果]性价比：很高",流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:01:20】商家:非常感谢您的好评！😊 您的满意是我们最大的动力，我们会继续努力，为您提供更好的服务和美食。期待您下次光临，祝您生活愉快！🍽️
",好评,1.0,正面,"[""服务"", ""薄荷"", ""性价比"", ""米饭"", ""糖果""]",1539873707
团购评价,不爱睡觉的木木,5.0,一进店，暖色调灯光搭配精致酒架，氛围直接拉满，惬意又放松。座位布局合理，无论是朋友小聚还是情侣约会，都超合适。还有一些台州特色元素点缀，细节很用心。,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:01:28】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的灯光和座位布局，也感谢您对我们台州特色元素的认可。我们会继续保持这份用心和热情，期待有机会再度为您服务！
",好评,1.0,正面,"[""暖色调"", ""一进店"", ""酒架"", ""拉满"", ""小聚""]",1539873707
打卡评价,Monsterzyw,5.0,"[薄荷]环境：氛围很好，在靠窗位置。观景很不错～

[服务铃]服务：非常热情，积极主动。

[糖果]性价比：双人餐性价比较高。
「沙蒜海参豆面」很香，入口味道就很鲜。
「小土豆烧仔排」肋排软糯，很好脱骨。小土豆不是特别酥烂。

[米饭]口味：来三次了，",流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:01:36】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的环境和菜品，特别是沙蒜海参豆面和小土豆烧仔排。我们将继续保持高质量的服务和菜品，期待您再次光临！
【2025-05-23 20:13:48】酱芳馥:这家店的其他菜品也值得一试吗？
",好评,1.0,正面,"[""小土豆"", ""性价比"", ""脱骨"", ""沙蒜"", ""很鲜""]",1539873707
打卡评价,黑豆粉清蒸大枣,5.0,口味很好，交通便利，服务态度也特别好,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-23 00:02:01】商家:非常感谢您的好评！😊 您的满意是我们最大的动力，我们会继续努力，为您提供更好的美食和服务。期待您下次光临，祝您生活愉快！🍽️
",好评,0.9921,正面,"[""服务态度"", ""口味"", ""便利"", ""交通"", ""特别""]",1539873707
打卡评价,amelia_mia,5.0,"辣炒蛏子很好吃，就是量有点小。黄鱼家烧年糕味道不错，猪油渣青菜也不错。
送到开胃酒还行。
服务很好",流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 13:29:18】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的辣炒蛏子、黄鱼家烧年糕和猪油渣青菜。我们会继续保持高质量菜品，并不断改进。期待再次为您提供美好的用餐体验！
",好评,0.9952,正面,"[""开胃酒"", ""不错"", ""蛏子"", ""家烧"", ""年糕""]",1539873707
打卡评价,Faye_8002,5.0,口味好，环境好，适合朋友聚会。晚上喝点小酒,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 13:29:12】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的口味和环境，并选择在这里和朋友聚会。我们会继续保持高质量的服务，期待您再次光临，享受更多美好时光！
",好评,0.9763,正面,"[""小酒"", ""喝点"", ""口味"", ""聚会"", ""适合""]",1539873707
门店评价,fengnini,5.0,服务非常好，非常热情。菜的口感也不错，下次还会光顾。,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 13:23:05】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您对我们的服务和菜品口感感到满意。我们将继续保持高质量的服务和美味的菜品，期待您再次光临！
",好评,0.9874,正面,"[""非常"", ""口感"", ""光顾"", ""下次"", ""热情""]",1539873707
打卡评价,匿名用户,4.5,"口味：豆面和麻糍最好吃，烧得很入味。
环境：餐厅光线好
服务：服务员很热情，会主动加水，收拾空盘",流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 13:23:11】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的豆面和麻糍，并且对餐厅的光线和热情服务感到满意。我们会继续保持高质量的服务和菜品，期待再次为您提供美好的用餐体验！
",好评,0.4622,中性,"[""空盘"", ""豆面"", ""入味"", ""加水"", ""服务员""]",1539873707
门店评价,季强,4.5,菜好，服务热情，下次再光灵,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 13:22:58】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您对我们的菜品和服务感到满意。我们将继续保持高质量的服务和美味的菜品，期待您再次光临！
",好评,0.7152,正面,"[""再光灵"", ""下次"", ""热情"", ""服务""]",1539873707
打卡评价,周维一_6935,5.0,精致的菜肴 令人流连忘返,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 13:22:51】商家:亲爱的顾客，感谢您对我们精致菜肴的喜爱！😊 您的满意是我们最大的动力，我们会继续努力，为您提供更优质的服务和美食。期待您的再次光临，祝您生活愉快！🍽️
",好评,0.9959,正面,"[""流连忘返"", ""菜肴"", ""精致"", ""令人""]",1539873707
打卡评价,吃吃喝喝8278,4.5,"种草已久特点来打卡！

[薄荷]环境：地方不大，环境挺不错的，都是大陆地玻璃窗，餐位比较紧、很有氛围感很热闹，基本以年轻人居多，进去就想喝一杯的感觉！
菜品主要以台州菜为主，「沙蒜海参豆面」味道不错，不过蛏子不够肥美，可能是季节的原因烧的很入味！
「葱烤带鱼」很有本帮口味，不是特别的甜，肉质还不错比较特别的！
菜量不是很大，价格也还行，服务很热情估计是今天人比较多有些来不及！",流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 12:56:15】商家:亲爱的顾客，您好！感谢您对我们餐厅的喜爱和详细评价！很高兴您喜欢我们的环境和菜品，尤其是沙蒜海参豆面和葱烤带鱼。我们会继续保持高质量的服务和菜品，期待您再次光临，享受更多美味！
【2025-05-23 19:45:20】Lauren:这家店有外卖吗？
",好评,1.0,正面,"[""比较"", ""不错"", ""打卡"", ""蛏子"", ""餐位""]",1539873707
团购评价,小龙王,5.0,葱烤带鱼绝美味，每个菜都好吃，服务很棒，会二刷[调皮],流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 12:56:23】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的葱烤带鱼和其他菜品，并且对我们的服务感到满意。我们会继续保持高品质，期待您再次光临！
",好评,0.1854,负面,"[""会二刷"", ""很棒"", ""带鱼"", ""美味"", ""调皮""]",1539873707
门店评价,maggie_8663,5.0,位置很棒，落地窗窗外绿树茵茵，氛围不要太好，吃的很好吃，上来就光盘，hahhh，味道偏咸，不是挡不住味道好,流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 12:56:32】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的菜品和环境，尤其是落地窗的美景。我们会继续保持高质量菜品，期待您再次光临，享受更多美味！
",好评,0.9553,正面,"[""味道"", ""hahhh"", ""偏咸"", ""茵茵"", ""落地窗""]",1539873707
打卡评价,Rio橙,4.5,"很有范的一家台州菜馆，取名bistro顾名思义小酒必须喝起来。
带酒精的巧克力慕斯蛋糕，可能我是酒鬼，没尝出有什么酒精的味道
西柚mojito，是无酒精鸡尾酒，必须给我加点Rum.否则对不起Mojito这个名字。

[服务铃]服务：服务小哥和小雨的服务很赞，很有眼力见，可以预判出客人的需求是什么。点赞！
[米饭]口味：毁誉参半...
竹蛏豆面：将台州菜最有名的沙蒜豆面替换成了竹蛏豆面，不好意思，竹蛏有点腥。略微缺了一点黑胡椒的味道
家烧黄鱼配年糕：黄鱼可以，但是年糕不够糯叽叽。
海肠捞饭：可以，的确是很不错的体验
炒麻糍：口感偏甜的麻糍，却是出乎意料的糯叽叽，但是容易黏在一起，没有公筷，无法分割开

[薄荷]环境：空调对着我吹，还好我怕热，吹的我很舒服
总体来说体验还算过得去，食物并没有太惊艳，但是服务却让我印象深刻",流杯酒肆·台州Bistro,2025-05-22,点评,是,"【2025-05-22 13:02:01】商家:亲爱的顾客，您好！感谢您对我们餐厅的详细评价！很高兴您对我们的服务和环境感到满意，尤其是对小哥和小雨的赞赏。我们会继续保持高质量的服务，并努力改进菜品。期待您再次光临，体验更多美味！
【2025-05-26 14:04:45】辣么胖的娜na:看馋了
【2025-05-26 14:36:00】yamabaobao:海肠好喜欢
",好评,0.9999,正面,"[""豆面"", ""服务"", ""酒精"", ""年糕"", ""叽叽""]",1539873707
门店评价,dpuser_4752085939,5.0,"[米饭]口味：里面的菜品非常好吃点的都不踩雷

[薄荷]环境：尤其是环境特别优美很适合打卡拍照
[服务铃]服务：服务周到",流杯酒肆·台州Bistro,2025-05-21,点评,是,"【2025-05-22 13:02:07】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的菜品和环境，并认可我们的服务。我们将继续保持高品质，期待再次为您服务！
",好评,0.9998,正面,"[""打卡"", ""服务周到"", ""服务"", ""环境"", ""菜品""]",1539873707
打卡评价,吃货一枚,4.5,"[米饭]口味：这家台州菜味道不错，推荐黄鱼年糕很入味
[薄荷]环境：环境适合打卡拍照室外很干净
[服务铃]服务：小雨的服务也很热情贴心

[糖果]性价比：性价比也不错",流杯酒肆·台州Bistro,2025-05-21,点评,是,"【2025-05-22 13:02:34】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的黄鱼年糕，并对环境和小雨的服务感到满意。我们将继续保持高品质，期待再次为您服务！
",好评,1.0,正面,"[""性价比"", ""服务"", ""不错"", ""打卡"", ""入味""]",1539873707
门店评价,陈若愚,4.5,"[薄荷]环境：陕西南路上闹中取静的的位置 适合小酌

[米饭]口味：碟鱼头台州烧法很入味
低温虾推荐 很新鲜

[服务铃]服务：很棒",流杯酒肆·台州Bistro,2025-05-21,点评,是,"【2025-05-22 13:02:14】商家:亲爱的顾客，非常感谢您的好评！😊 您的满意是我们最大的动力，听到您喜欢我们的碟鱼头和低温虾，我们特别开心！环境和服务能让您满意，我们也很高兴。期待您下次再来小酌，祝您生活愉快！🍷
【2025-05-27 11:15:15】点小评:碟鱼头台州烧法，低温虾新鲜入味，服务棒！这里的小酌时光，简直完美！
",好评,0.8708,正面,"[""烧法"", ""闹中取静"", ""小酌"", ""入味"", ""很棒""]",1539873707
团购评价,湾湾,4.5,"[米饭]口味：口口
[薄荷]环境：优雅
[服务铃]服务：周到
[糖果]性价比：2人套餐，实惠「特调开胃酒」，喜欢",流杯酒肆·台州Bistro,2025-05-21,点评,是,"【2025-05-21 19:51:27】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的特调开胃酒，并对环境和服务的认可。我们将继续保持高质量的服务和菜品，期待再次为您提供美好的用餐体验！
",好评,1.0,正面,"[""开胃酒"", ""特调"", ""服务"", ""薄荷"", ""套餐""]",1539873707
门店评价,evawang55555,4.0,环境真的很美 好多小姐姐来打卡拍照 东西也不错 牛肉和米线一定要点 有个服务员开酒的时候撒我身上 反应后给我们打了个折,流杯酒肆·台州Bistro,2025-05-21,点评,是,"【2025-05-21 17:03:18】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们餐厅
",好评,0.9544,正面,"[""小姐姐"", ""打卡"", ""有个"", ""开酒"", ""米线""]",1539873707
买单评价,姵霖_1017,4.5,"点了3个菜，吃到了2个，付了1份的钱。
唯二的两个味道还是可以的。
晚上人还不少。",流杯酒肆·台州Bistro,2025-05-20,点评,是,"【2025-05-20 21:00:30】商家:亲，非常抱歉这次没能让您满意，我们确实有疏忽的地方。您提到的菜品问题，我们会认真改进，确保以后不会再发生。感谢您的反馈，也感谢您对我们味道的认可。希望下次能给您带来更好的体验，期待您的再次光临！🍲
",好评,0.0028,负面,"[""唯二"", ""味道"", ""晚上"", ""不少"", ""两个""]",1539873707
打卡评价,Maggiiigd,5.0,环境不错，菜的口味也很有层次，适合朋友小聚，服务态度也不错，菜品精致～,流杯酒肆·台州Bistro,2025-05-20,点评,是,"【2025-05-20 21:00:36】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的环境和菜品口味，并且对服务态度感到满意。我们将继续保持高品质，期待您和朋友再次光临！
",好评,0.9956,正面,"[""不错"", ""小聚"", ""服务态度"", ""菜品"", ""口味""]",1539873707
打卡评价,匿名用户,5.0,520时候正好遇打卡的一家店，味道还蛮好，服务很热情[点赞],流杯酒肆·台州Bistro,2025-05-20,点评,是,"【2025-05-20 21:00:44】商家:亲爱的顾客，您好！感谢您选择在520这个特别的日子光临我们的餐厅，并给予好评！很高兴您对我们的菜品和服务感到满意。我们会继续保持高质量的服务和美味的菜品，期待您再次光临！
",好评,0.9796,正面,"[""打卡"", ""520"", ""点赞"", ""味道"", ""热情""]",1539873707
打卡评价,宋不饱,5.0,来上海出差，浅浅过一下520，没有提前预定，但赶在开餐前来的，所以没有排队很幸运了。被豆面馋到不行，之前就很喜欢台州菜系，吃到了今年最佳葱烧带鱼，外壳酥的恰到好处，汤汁甜咸适中，豆面也很鲜咸，牛尾面弹牙，味道也很不错，第一次尝试Bistro，太适合我了！,流杯酒肆·台州Bistro,2025-05-20,点评,是,"【2025-05-20 21:00:53】商家:亲爱的顾客，您好！感谢您选择我们餐厅并分享您的用餐体验！很高兴您喜欢我们的葱烧带鱼和豆面，您的赞美让我们倍感荣幸。我们将继续保持高品质，期待您再次光临，品尝更多美味！
",好评,0.783,正面,"[""豆面"", ""520"", ""开餐"", ""葱烧"", ""甜咸""]",1539873707
门店评价,雪里蕻涮枣泥,4.5,"餐厅位置非常静谧。人均价格实惠。菜品食材新鲜。

[米饭]口味：棒棒哒，正宗海鲜
[服务铃]服务：服务员工态度很好，效率很高",流杯酒肆·台州Bistro,2025-05-20,点评,是,"【2025-05-20 21:01:00】商家:非常感谢您的好评！😊 您的满意是我们最大的动力，听到您喜欢我们的菜品和服务，我们特别开心！我们会继续努力，为您提供更优质的体验。期待您下次光临，祝您生活愉快！🍽️
",好评,0.9964,正面,"[""服务"", ""棒棒"", ""食材"", ""菜品"", ""静谧""]",1539873707
门店评价,気酒,5.0,很好吃，很新鲜的海鲜，环境很舒适，下次还会来～,流杯酒肆·台州Bistro,2025-05-20,点评,是,"【2025-05-23 00:01:46】商家:非常感谢您的好评！😊 您的满意是我们最大的动力，我们会继续努力，为您提供更优质的服务和美味的海鲜。期待您的再次光临，祝您生活愉快！🍤✨
",好评,0.9922,正面,"[""还会来"", ""海鲜"", ""下次"", ""好吃"", ""舒适""]",1539873707
门店评价,糟老头子坏得很,5.0,"「台州炒麻糍」蛮好吃的，稍微油了一点
「沙蒜海参豆面」中规中矩
「葱油山东小管」好吃，新鲜，嫩",流杯酒肆·台州Bistro,2025-05-20,点评,是,"【2025-05-20 21:01:07】商家:亲爱的顾客，感谢您的评价！😊 很高兴您喜欢我们的「葱油山东小管」，我们会继续努力保持新鲜和嫩滑的口感。对于「台州炒麻糍」稍微油了一点，我们会注意改进，争取让每一道菜都更完美。期待您下次再来品尝更多美味哦！
",好评,0.969,正面,"[""好吃"", ""炒麻"", ""沙蒜"", ""葱油"", ""小管""]",1539873707
门店评价,tasteiseverything,4.5,首先要表扬一下昨天服务我们这一桌的服务员 特别热情 介绍调酒也很细心 就说我朋友带时差还喝了至少6杯同款调酒。 菜品好吃但分量确实小 建议人多可以有大份小份区分。 餐厅环境很好但卫生间实在是可以提升 去趟卫生间回来都没有食欲了,流杯酒肆·台州Bistro,2025-05-20,点评,是,"【2025-05-20 13:30:22】商家:亲爱的顾客，您好！感谢您对我们餐厅的详细评价！很高兴您对我们的服务和环境感到满意，也感谢您对菜品的肯定。对于您提到的分量问题，我们会考虑改进。期待您再次光临，享受更好的用餐体验！
【2025-05-23 17:01:47】点小评:热情的服务员和美味的菜品，让人忍不住多喝几杯！分量小？那就多点几道，慢慢品尝吧！
",好评,0.9926,正面,"[""调酒"", ""卫生间"", ""同款"", ""有大份"", ""小份""]",1539873707
打卡评价,匿名用户,4.5,"[米饭]口味：「葱烤带鱼」「怪味脆皮牛肉粒」[色]是今天最好吃的两道菜「葱烤带鱼」「家烧黄鱼配年糕」「怪味脆皮牛肉粒」
[糖果]性价比：还是很高的
[服务铃]服务：小哥哥服务特别好，下班过来这边气氛很好，很放松[鼓掌][亲亲]",流杯酒肆·台州Bistro,2025-05-19,点评,是,"【2025-05-20 11:17:23】商家:亲爱的顾客，感谢您对我们「葱烤带鱼」和「怪味脆皮牛肉粒」的喜爱，听到您觉得这两道菜是今天最好吃的，我们特别开心！😊 您的满意是我们最大的动力，我们会继续努力，为您提供更多美味和优质的服务。期待您下次光临，再次享受我们的美食和温馨的氛围！🍽️
",好评,0.6883,正面,"[""脆皮"", ""怪味"", ""带鱼"", ""牛肉"", ""服务""]",1539873707
打卡评价,匿名用户,5.0,"「本帮低温虾」「怪味脆皮牛肉粒」
怪味牛肉粒和本帮低温虾居然意外好吃，整体菜品分量不大，人多可以把菜单扫完",流杯酒肆·台州Bistro,2025-05-19,点评,是,"【2025-05-20 11:17:31】商家:非常感谢您的好评！😊 很高兴您喜欢我们的怪味脆皮牛肉粒和本帮低温虾，我们会继续努力，争取让每一道菜都让您满意。菜品分量小的问题我们会考虑改进，希望下次您能带更多朋友一起来品尝哦！期待您的再次光临！🍽️
",好评,0.0,负面,"[""怪味"", ""牛肉"", ""低温"", ""脆皮"", ""本帮""]",1539873707
打卡评价,匿名用户,5.0,食物都很好吃，酒的种类也很丰富，价格也很合适，服务态度也很棒，推荐！,流杯酒肆·台州Bistro,2025-05-19,点评,是,"【2025-05-20 11:17:43】商家:亲爱的顾客，非常感谢您的好评！😊 您的满意是我们最大的动力，我们会继续努力，为您提供更好的美食和服务。期待您下次光临，祝您生活愉快！🍷🍴
",好评,0.9961,正面,"[""服务态度"", ""很棒"", ""好吃"", ""合适"", ""食物""]",1539873707
门店评价,匿名用户,5.0,还不错 菜偏甜口  氛围不错,流杯酒肆·台州Bistro,2025-05-19,点评,是,"【2025-05-20 11:17:52】商家:亲爱的顾客，您好！感谢您对我们餐厅的评价！很高兴您喜欢我们的氛围，并认可我们的菜品。我们会继续保持，期待您再次光临，享受更多美味！
",好评,0.9727,正面,"[""不错"", ""偏甜口"", ""氛围""]",1539873707
打卡评价,匿名用户,3.5,"[米饭]口味：还不错，量小而精致

[薄荷]环境：人不少，不拥挤

[服务铃]服务：很热情

[糖果]性价比：不错的
避雷，特调，店家推荐了“我裂开了”，喝了我真的裂开了",流杯酒肆·台州Bistro,2025-05-19,点评,是,"【2025-05-20 11:16:57】商家:亲爱的顾客，您好！感谢您光临并分享您的详细反馈。对于特调饮品“我裂开了”未能让您满意，我们深感抱歉。我们会认真考虑您的意见，改进饮品配方。期待您再次光临，体验我们的改进！
",中评,0.9999,正面,"[""裂开"", ""不错"", ""避雷"", ""特调"", ""服务""]",1539873707
